Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
San Francisco,West Coast,14-16,0.467,-2,152,6.64,139,42.84,118,88.03,182,19.98,2.76,111,41.75,111,41.75,0.00,0.00
Pacific,West Coast,18-13,0.581,+1,138,6.80,140,42.62,75,91.74,273,16.06,2.75,110,41.80,110,41.80,0.00,0.00
Montana St,Big Sky,17-15,0.531,+1,148,6.68,141,42.35,212,82.66,81,24.86,2.81,134,40.37,135,40.31,0.62,0.38
Hawaii,Big West,20-9,0.690,+1,132,6.82,142,42.32,219,82.27,75,25.22,2.69,174,38.61,178,38.38,0.80,0.20
St Louis,Atlantic 10,16-18,0.471,+6,149,6.67,143,42.30,71,91.81,281,15.67,2.73,102,42.34,103,42.34,0.00,0.00
WKU,Conference USA,15-16,0.484,-4,156,6.59,144,42.14,148,86.40,159,20.92,2.75,129,40.61,129,40.61,0.00,0.00
San Diego St,Mountain West,19-12,0.613,+5,140,6.74,145,42.06,153,86.08,152,21.16,2.73,148,39.45,155,39.20,0.79,0.21
UT San Antonio,American Athletic,16-13,0.552,,135,6.81,146,42.06,175,84.84,131,22.39,2.71,93,43.37,92,43.37,0.00,0.00
Fordham,Atlantic 10,12-17,0.414,-4,181,6.41,147,41.65,161,85.50,147,21.32,2.69,177,38.52,175,38.52,0.00,0.00
Louisiana Tech,Conference USA,13-18,0.419,+1,171,6.49,148,41.49,203,83.18,105,23.48,2.71,133,40.41,132,40.41,0.00,0.00
Oral Roberts,Summit Lg,20-9,0.690,-5,137,6.81,149,41.48,48,95.45,342,11.20,2.78,154,39.18,161,39.01,0.71,0.29
Southern Miss,Sun Belt,18-13,0.581,-2,153,6.62,150,41.33,183,84.31,134,22.19,2.64,181,38.33,181,38.33,0.00,0.00
Boise St,Mountain West,19-12,0.613,-2,145,6.70,151,41.30,206,82.98,104,23.49,2.81,175,38.56,185,38.15,0.91,0.09
Norfolk St,Mid-Eastern AC,24-5,0.828,+3,141,6.72,152,40.98,226,81.72,89,24.42,2.73,321,30.17,328,29.73,0.99,0.01
Chattanooga,Southern,27-4,0.871,+8,113,6.95,153,40.92,248,80.36,70,25.73,2.51,271,33.68,271,33.64,0.75,0.25
Penn,Ivy League,15-12,0.556,+1,155,6.60,154,40.65,165,85.25,170,20.57,2.70,155,39.17,156,39.17,0.00,0.00
UAB,American Athletic,18-12,0.600,-4,150,6.67,155,40.60,94,90.26,284,15.51,2.67,159,39.07,149,39.32,0.33,0.67
Wichita St,American Athletic,10-21,0.323,+9,186,6.38,156,40.35,155,86.05,193,19.47,2.74,104,42.22,102,42.53,0.18,0.82
San Diego,West Coast,9-22,0.290,,200,6.28,157,40.33,182,84.56,158,20.94,2.69,117,41.34,117,41.34,0.00,0.00
Maine,America East,22-9,0.710,+1,147,6.68,158,40.15,217,82.30,112,23.02,2.66,244,35.50,245,35.22,0.86,0.14
